Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
UK,2018,ML345,Education,60.13 ," 8,78,362 ",Nation-state,Unpatched Software,Antivirus,57
India,2024,PH01,Banking,23.32 ," 8,79,162 ",Unknown,Zero-day,VPN,38
Brazil,2015,RWS34,Retail,91.03 ,"  8,79,260  ",Hacker Group,Social Engineering,Antivirus,16
Russia,2015,RWS34,IT,49.30 ," 8,79,875 ",Insider,Zero-day,Encryption,61
Australia,2016,PH01,Telecommunications,2.84 ," 8,80,127 ",Insider,Social Engineering,Antivirus,67
India,2019,PH01,IT,52.47 ," 8,80,546 ",Nation-state,Zero-day,VPN,39
China,2022,DD678,Banking,79.07 ,"  8,80,586  ",Hacker Group,Unpatched Software,VPN,56
Brazil,2019,MIM65,Banking,14.64 ,"  8,80,671  ",Hacker Group,Social Engineering,Firewall,66
China,2018,MIM65,Banking,9.77 ," 8,81,294 ",Insider,Unpatched Software,AI-based Detection,3
France,2019,ML345,IT,71.94 ," 8,81,326 ",Insider,Unpatched Software,Firewall,43
France,2020,RWS34,Education,66.04 ," 8,81,755 ",Unknown,Zero-day,Firewall,10
Germany,2016,MIM65,Banking,3.57 ," 8,82,784 ",Insider,Weak Passwords,VPN,31
France,2016,RWS34,Education,25.55 ,"  8,83,536  ",Hacker Group,Unpatched Software,AI-based Detection,66
Russia,2017,SI657,Banking,76.84 ,"  8,83,919  ",Hacker Group,Social Engineering,VPN,8
Brazil,2019,ML345,IT,54.26 ," 8,83,977 ",Nation-state,Unpatched Software,Antivirus,47
Brazil,2022,PH01,Banking,98.06 ," 8,84,502 ",Insider,Unpatched Software,AI-based Detection,55
UK,2016,RWS34,Education,80.77 ," 8,84,536 ",Insider,Zero-day,Encryption,34
China,2021,PH01,Government,84.49 ,"  8,84,734  ",Hacker Group,Weak Passwords,Encryption,6
China,2020,ML345,IT,95.17 ," 8,84,741 ",Nation-state,Zero-day,Antivirus,30
China,2016,ML345,Government,91.69 ," 8,85,843 ",Insider,Unpatched Software,AI-based Detection,46
France,2017,RWS34,Retail,48.93 ," 8,86,212 ",Unknown,Weak Passwords,Encryption,67
China,2015,RWS34,Government,57.59 ," 8,87,037 ",Insider,Unpatched Software,VPN,39
Germany,2024,PH01,Telecommunications,36.34 ," 8,87,186 ",Insider,Weak Passwords,Antivirus,8
Brazil,2024,RWS34,Healthcare,60.13 ,"  8,87,531  ",Hacker Group,Social Engineering,Encryption,51
France,2021,ML345,Retail,3.44 ," 8,87,718 ",Insider,Zero-day,Antivirus,55
Japan,2021,DD678,Education,14.88 ," 8,87,855 ",Nation-state,Zero-day,AI-based Detection,7
Russia,2016,SI657,Education,17.05 ," 8,88,205 ",Nation-state,Weak Passwords,AI-based Detection,38
USA,2017,PH01,Telecommunications,19.60 ," 8,89,404 ",Unknown,Weak Passwords,Firewall,60
Brazil,2024,DD678,Government,24.23 ,"  8,89,448  ",Hacker Group,Zero-day,VPN,20
Australia,2017,MIM65,IT,45.50 ," 8,89,521 ",Nation-state,Weak Passwords,Encryption,51
UK,2023,PH01,Healthcare,23.66 ,"  8,89,641  ",Hacker Group,Social Engineering,AI-based Detection,50
Brazil,2016,DD678,Telecommunications,10.45 ," 8,89,928 ",Nation-state,Zero-day,Encryption,63
Russia,2020,PH01,Education,9.52 ," 8,89,970 ",Nation-state,Unpatched Software,VPN,20
Australia,2023,DD678,IT,55.94 ," 8,90,234 ",Nation-state,Unpatched Software,VPN,53
UK,2015,DD678,Government,11.68 ," 8,90,414 ",Nation-state,Unpatched Software,AI-based Detection,28
China,2024,DD678,Government,69.28 ,"  8,90,675  ",Hacker Group,Unpatched Software,Firewall,5
Russia,2024,DD678,Education,54.40 ," 8,91,298 ",Insider,Social Engineering,AI-based Detection,60
Australia,2024,ML345,Retail,64.30 ," 8,91,367 ",Nation-state,Social Engineering,Firewall,21
USA,2024,SI657,Retail,94.83 ,"  8,91,369  ",Hacker Group,Social Engineering,Antivirus,71
China,2019,SI657,Healthcare,79.28 ," 8,91,504 ",Insider,Zero-day,Firewall,63
India,2019,DD678,Banking,58.96 ," 8,91,815 ",Unknown,Weak Passwords,Antivirus,19
Australia,2022,ML345,Government,54.17 ," 8,92,175 ",Insider,Zero-day,VPN,18
USA,2017,MIM65,Healthcare,54.54 ," 8,92,665 ",Insider,Unpatched Software,VPN,31
Brazil,2023,SI657,Telecommunications,30.28 ,"  8,92,843  ",Hacker Group,Zero-day,VPN,26
Japan,2022,ML345,Education,17.30 ," 8,93,060 ",Unknown,Social Engineering,Encryption,19
UK,2015,RWS34,Banking,79.30 ," 8,93,277 ",Unknown,Social Engineering,Firewall,15
UK,2015,PH01,Banking,39.12 ," 8,93,284 ",Unknown,Unpatched Software,AI-based Detection,21
Brazil,2021,MIM65,Banking,81.68 ," 8,93,986 ",Insider,Unpatched Software,Firewall,47
France,2021,ML345,Telecommunications,68.64 ,"  8,94,858  ",Hacker Group,Social Engineering,Firewall,19
UK,2017,SI657,Government,98.75 ," 8,94,933 ",Insider,Weak Passwords,Antivirus,59
USA,2016,ML345,Retail,32.89 ," 8,94,935 ",Unknown,Social Engineering,AI-based Detection,31
India,2020,SI657,Banking,89.80 ," 8,95,388 ",Insider,Social Engineering,AI-based Detection,54
USA,2017,SI657,Banking,9.08 ," 8,95,507 ",Unknown,Social Engineering,AI-based Detection,52
USA,2019,MIM65,Telecommunications,17.21 ," 8,96,828 ",Unknown,Weak Passwords,Firewall,33
China,2024,ML345,Retail,34.49 ," 8,97,277 ",Unknown,Zero-day,VPN,55
Brazil,2023,DD678,Education,50.34 ," 8,97,521 ",Nation-state,Social Engineering,AI-based Detection,19
Australia,2024,PH01,Retail,73.43 ,"  8,97,569  ",Hacker Group,Social Engineering,AI-based Detection,66
France,2019,ML345,Healthcare,25.19 ,"  8,97,755  ",Hacker Group,Social Engineering,Antivirus,61
India,2015,RWS34,Education,96.03 ,"  8,98,251  ",Hacker Group,Weak Passwords,Antivirus,70
Australia,2022,MIM65,Government,90.65 ,"  8,98,589  ",Hacker Group,Zero-day,AI-based Detection,58
India,2020,DD678,Banking,86.27 ," 8,98,655 ",Nation-state,Unpatched Software,AI-based Detection,10
USA,2019,SI657,Retail,88.98 ," 8,98,679 ",Insider,Zero-day,Firewall,35
India,2017,PH01,IT,93.62 ," 8,99,005 ",Insider,Weak Passwords,AI-based Detection,61
France,2015,ML345,IT,91.94 ,"  8,99,215  ",Hacker Group,Weak Passwords,Antivirus,59
Brazil,2022,MIM65,Education,77.98 ," 8,99,279 ",Insider,Zero-day,Firewall,39
Japan,2015,ML345,Education,17.19 ," 8,99,381 ",Insider,Unpatched Software,Firewall,66
Brazil,2019,DD678,Telecommunications,59.86 ," 8,99,413 ",Nation-state,Weak Passwords,Encryption,11
Australia,2023,DD678,Government,76.25 ," 9,00,661 ",Insider,Unpatched Software,Encryption,64
Russia,2018,ML345,Telecommunications,89.79 ," 9,00,723 ",Insider,Zero-day,Firewall,32
France,2024,SI657,Retail,3.07 ," 9,01,137 ",Nation-state,Zero-day,Antivirus,10
Germany,2018,RWS34,Education,90.48 ," 9,01,880 ",Unknown,Social Engineering,VPN,16
Australia,2019,PH01,Banking,37.07 ," 9,02,654 ",Insider,Social Engineering,Antivirus,9
Brazil,2024,RWS34,IT,71.55 ," 9,02,924 ",Unknown,Social Engineering,Encryption,12
UK,2019,PH01,Telecommunications,90.67 ," 9,02,952 ",Unknown,Weak Passwords,Encryption,8
India,2024,PH01,Banking,64.23 ," 9,03,871 ",Nation-state,Unpatched Software,Encryption,17
Russia,2021,RWS34,Telecommunications,11.04 ," 9,04,330 ",Nation-state,Weak Passwords,VPN,49
France,2021,SI657,Government,98.76 ,"  9,04,598  ",Hacker Group,Social Engineering,AI-based Detection,11
France,2018,DD678,Government,15.71 ,"  9,04,770  ",Hacker Group,Social Engineering,Antivirus,4
Australia,2015,DD678,Government,82.70 ,"  9,04,805  ",Hacker Group,Zero-day,Encryption,61
Japan,2022,DD678,Education,82.19 ,"  9,05,203  ",Hacker Group,Weak Passwords,Antivirus,37
Australia,2020,PH01,Education,85.79 ,"  9,05,386  ",Hacker Group,Zero-day,Firewall,17
Russia,2022,RWS34,Telecommunications,16.98 ," 9,05,673 ",Insider,Weak Passwords,VPN,54
Brazil,2015,ML345,Healthcare,88.08 ," 9,05,770 ",Nation-state,Zero-day,VPN,9
USA,2015,RWS34,Healthcare,43.81 ," 9,05,935 ",Unknown,Unpatched Software,VPN,60
France,2024,PH01,Healthcare,59.79 ," 9,06,160 ",Unknown,Zero-day,VPN,48
Germany,2017,ML345,Banking,97.68 ,"  9,06,914  ",Hacker Group,Zero-day,AI-based Detection,15
Brazil,2023,ML345,Healthcare,61.56 ," 9,07,121 ",Unknown,Social Engineering,VPN,33
India,2020,PH01,Retail,25.79 ," 9,07,128 ",Insider,Unpatched Software,Antivirus,13
Germany,2016,PH01,Education,48.57 ," 9,07,547 ",Unknown,Unpatched Software,Firewall,33
Australia,2022,DD678,Education,9.73 ," 9,07,708 ",Unknown,Unpatched Software,AI-based Detection,44
China,2018,SI657,Education,15.36 ," 9,07,858 ",Nation-state,Social Engineering,Encryption,47
Germany,2017,PH01,Retail,93.60 ," 9,08,249 ",Nation-state,Zero-day,AI-based Detection,53
Germany,2016,RWS34,Education,24.40 ,"  9,08,906  ",Hacker Group,Weak Passwords,AI-based Detection,46
Brazil,2018,RWS34,Healthcare,4.51 ," 9,09,979 ",Nation-state,Social Engineering,VPN,65
France,2018,SI657,Government,59.23 ," 9,09,991 ",Unknown,Social Engineering,Antivirus,66
Australia,2018,DD678,Healthcare,10.77 ," 9,10,081 ",Nation-state,Zero-day,VPN,28
USA,2017,SI657,Banking,39.59 ," 9,10,393 ",Unknown,Weak Passwords,Antivirus,52
Brazil,2018,RWS34,Banking,30.61 ," 9,10,960 ",Nation-state,Social Engineering,Antivirus,31
China,2017,PH01,Healthcare,92.64 ,"  9,11,233 ",Hacker Group,Weak Passwords,AI-based Detection,18
USA,2024,RWS34,IT,16.61 ," 9,12,183 ",Unknown,Weak Passwords,Encryption,44
India,2019,RWS34,Government,10.37 ," 9,12,202 ",Nation-state,Weak Passwords,VPN,15
UK,2018,SI657,Education,16.23 ," 9,12,558 ",Nation-state,Unpatched Software,Antivirus,69
Brazil,2017,ML345,IT,9.59 ," 9,12,731 ",Nation-state,Zero-day,Firewall,4
Brazil,2020,SI657,Banking,68.05 ," 9,12,770 ",Unknown,Zero-day,AI-based Detection,67
Germany,2021,RWS34,Healthcare,16.64 ," 9,12,847 ",Unknown,Weak Passwords,Antivirus,27
France,2015,PH01,Government,41.88 ," 9,13,027 ",Insider,Unpatched Software,Antivirus,68
Australia,2018,DD678,Healthcare,20.39 ," 9,13,090 ",Unknown,Zero-day,VPN,2
India,2015,ML345,Telecommunications,1.52 ," 9,13,114 ",Insider,Unpatched Software,VPN,15
Brazil,2017,DD678,Education,29.76 ," 9,13,276 ",Insider,Social Engineering,Encryption,57
Russia,2024,ML345,Education,55.15 ,"  9,13,591 ",Hacker Group,Zero-day,AI-based Detection,51
UK,2017,SI657,Retail,47.99 ," 9,14,365 ",Insider,Weak Passwords,Firewall,52
Germany,2016,RWS34,Education,15.09 ," 9,14,593 ",Unknown,Weak Passwords,AI-based Detection,1
China,2015,PH01,Retail,14.72 ," 9,14,743 ",Insider,Social Engineering,AI-based Detection,69
Australia,2019,SI657,Healthcare,3.92 ," 9,15,247 ",Nation-state,Zero-day,Encryption,52
Australia,2024,MIM65,Education,86.52 ," 9,15,463 ",Insider,Weak Passwords,Antivirus,2
Japan,2015,ML345,Telecommunications,28.80 ," 9,15,532 ",Insider,Zero-day,Encryption,68
USA,2024,ML345,Education,24.93 ," 9,16,209 ",Unknown,Zero-day,Encryption,50
Japan,2018,PH01,Retail,2.73 ," 9,16,272 ",Nation-state,Zero-day,Antivirus,32
India,2015,SI657,Telecommunications,63.72 ,"  9,16,516 ",Hacker Group,Social Engineering,Encryption,68
USA,2015,SI657,Telecommunications,88.60 ," 9,16,744 ",Nation-state,Social Engineering,Antivirus,47
Japan,2018,RWS34,IT,60.82 ," 9,17,016 ",Unknown,Weak Passwords,VPN,39
India,2015,ML345,Retail,89.95 ," 9,17,351 ",Unknown,Zero-day,Encryption,43
China,2018,ML345,Education,95.42 ," 9,17,848 ",Insider,Social Engineering,VPN,30
UK,2018,SI657,Retail,85.18 ," 9,18,201 ",Insider,Zero-day,Encryption,35
Germany,2016,SI657,IT,34.35 ," 9,18,452 ",Unknown,Weak Passwords,AI-based Detection,16
Germany,2023,ML345,Retail,62.43 ," 9,18,454 ",Unknown,Unpatched Software,Firewall,15
Australia,2017,RWS34,Government,27.38 ," 9,18,816 ",Unknown,Weak Passwords,AI-based Detection,58
Brazil,2019,RWS34,Telecommunications,87.41 ," 9,19,425 ",Nation-state,Unpatched Software,Encryption,45
Germany,2023,RWS34,Retail,89.71 ," 9,19,427 ",Nation-state,Weak Passwords,AI-based Detection,51
Germany,2022,DD678,Telecommunications,51.95 ,"  9,19,855 ",Hacker Group,Weak Passwords,Antivirus,56
Russia,2022,MIM65,IT,84.10 ," 9,19,858 ",Nation-state,Unpatched Software,Encryption,47
Russia,2021,RWS34,Healthcare,85.65 ," 9,20,121 ",Unknown,Social Engineering,Antivirus,21
Brazil,2015,RWS34,Retail,49.55 ,"  9,20,172 ",Hacker Group,Weak Passwords,Antivirus,43
Japan,2019,DD678,Banking,81.89 ," 9,20,270 ",Nation-state,Unpatched Software,Antivirus,20
China,2016,SI657,Healthcare,38.81 ,"  9,20,768  ",Hacker Group,Unpatched Software,AI-based Detection,27
India,2017,PH01,IT,53.95 ," 9,20,801 ",Nation-state,Zero-day,Antivirus,52
Russia,2021,ML345,IT,83.76 ," 9,20,983 ",Insider,Social Engineering,Encryption,24
China,2024,ML345,Healthcare,85.76 ," 9,22,209 ",Nation-state,Zero-day,Antivirus,27
France,2024,DD678,IT,48.01 ," 9,22,258 ",Unknown,Social Engineering,Encryption,64
Russia,2016,DD678,Banking,87.62 ," 9,22,456 ",Insider,Zero-day,VPN,67
India,2020,PH01,IT,3.20 ," 9,22,656 ",Insider,Zero-day,AI-based Detection,17
UK,2024,SI657,IT,65.06 ," 9,22,676 ",Unknown,Zero-day,VPN,6
UK,2017,MIM65,Government,79.27 ,"  9,23,309  ",Hacker Group,Unpatched Software,Firewall,29
China,2023,MIM65,Education,49.53 ,"  9,23,445  ",Hacker Group,Unpatched Software,VPN,42
China,2020,SI657,IT,89.38 ," 9,23,489 ",Nation-state,Unpatched Software,Firewall,66
Russia,2022,PH01,Banking,85.01 ," 9,23,558 ",Insider,Weak Passwords,Encryption,41
Russia,2024,RWS34,Banking,80.11 ," 9,23,911 ",Insider,Unpatched Software,Firewall,60
India,2015,ML345,Education,64.29 ," 9,24,049 ",Nation-state,Social Engineering,VPN,5
Russia,2017,RWS34,Healthcare,16.77 ,"  9,24,837  ",Hacker Group,Unpatched Software,Firewall,62
UK,2016,PH01,Healthcare,71.19 ," 9,25,040 ",Unknown,Unpatched Software,Encryption,48
India,2023,RWS34,IT,18.53 ," 9,25,373 ",Insider,Zero-day,AI-based Detection,4
France,2024,RWS34,Government,52.85 ," 9,27,623 ",Nation-state,Weak Passwords,Firewall,29
France,2017,MIM65,Healthcare,34.43 ," 9,27,694 ",Insider,Social Engineering,VPN,43
Russia,2020,PH01,Education,34.41 ," 9,28,026 ",Unknown,Social Engineering,VPN,5
China,2024,DD678,IT,13.77 ," 9,28,751 ",Insider,Social Engineering,Encryption,26
India,2022,MIM65,Banking,90.87 ," 9,28,859 ",Unknown,Unpatched Software,Firewall,32
France,2019,MIM65,Banking,28.29 ," 9,29,020 ",Nation-state,Weak Passwords,Antivirus,2
UK,2020,MIM65,Government,54.29 ," 9,30,468 ",Insider,Social Engineering,AI-based Detection,35
Russia,2024,RWS34,Government,60.69 ," 9,31,196 ",Unknown,Social Engineering,AI-based Detection,27
Germany,2015,DD678,Healthcare,33.96 ,"  9,31,456  ",Hacker Group,Zero-day,AI-based Detection,22
France,2024,SI657,Healthcare,31.91 ,"  9,31,787  ",Hacker Group,Unpatched Software,Firewall,15
UK,2017,MIM65,Telecommunications,89.07 ," 9,32,075 ",Unknown,Unpatched Software,Firewall,72
Germany,2018,RWS34,Banking,87.56 ," 9,33,028 ",Nation-state,Unpatched Software,VPN,25
Australia,2023,SI657,Education,42.50 ," 9,33,030 ",Insider,Social Engineering,Antivirus,27
Brazil,2023,SI657,Healthcare,47.59 ," 9,33,271 ",Insider,Unpatched Software,Antivirus,30
Russia,2022,RWS34,Retail,44.25 ," 9,33,418 ",Nation-state,Zero-day,Antivirus,15
Germany,2023,SI657,Banking,30.68 ," 9,33,754 ",Insider,Social Engineering,Firewall,36
Brazil,2023,MIM65,IT,10.18 ," 9,33,883 ",Nation-state,Social Engineering,Encryption,41
India,2016,MIM65,Telecommunications,42.88 ," 9,34,333 ",Insider,Unpatched Software,Firewall,60
Japan,2020,RWS34,IT,79.52 ," 9,34,400 ",Unknown,Social Engineering,VPN,4
France,2020,PH01,Banking,13.38 ," 9,34,436 ",Unknown,Unpatched Software,Firewall,64
China,2021,MIM65,Banking,33.30 ," 9,35,265 ",Nation-state,Unpatched Software,Firewall,20
France,2021,RWS34,IT,58.86 ," 9,35,319 ",Nation-state,Social Engineering,Antivirus,25
UK,2018,ML345,Education,51.59 ," 9,35,465 ",Nation-state,Weak Passwords,AI-based Detection,28
UK,2021,SI657,IT,77.82 ,"  9,35,572  ",Hacker Group,Social Engineering,Encryption,61
USA,2016,PH01,Government,14.65 ," 9,36,566 ",Nation-state,Social Engineering,VPN,61
Japan,2016,ML345,Telecommunications,4.84 ," 9,36,738 ",Insider,Weak Passwords,Antivirus,8
Germany,2021,DD678,Government,28.71 ,"  9,37,384  ",Hacker Group,Unpatched Software,Encryption,67
UK,2016,DD678,Telecommunications,48.47 ,"  9,37,466  ",Hacker Group,Social Engineering,AI-based Detection,28
Japan,2021,DD678,Government,35.46 ," 9,37,562 ",Unknown,Zero-day,Firewall,10
Japan,2022,RWS34,Banking,26.17 ," 9,37,653 ",Insider,Unpatched Software,Encryption,24
Brazil,2021,ML345,Healthcare,83.06 ," 9,37,717 ",Unknown,Unpatched Software,Encryption,56
UK,2019,MIM65,Education,29.92 ,"  9,37,987  ",Hacker Group,Weak Passwords,VPN,45
Brazil,2018,RWS34,Education,69.04 ," 9,39,146 ",Nation-state,Zero-day,Firewall,56
India,2020,MIM65,IT,28.69 ," 9,39,469 ",Insider,Unpatched Software,Encryption,45
Brazil,2018,ML345,Banking,31.56 ,"  9,40,038  ",Hacker Group,Zero-day,Antivirus,24
Brazil,2018,MIM65,IT,47.01 ," 9,40,513 ",Unknown,Unpatched Software,Encryption,10
Brazil,2015,DD678,IT,43.51 ," 9,40,656 ",Unknown,Weak Passwords,AI-based Detection,41
Australia,2022,ML345,IT,93.20 ,"  9,41,679  ",Hacker Group,Social Engineering,Antivirus,43
UK,2023,ML345,Education,34.66 ," 9,41,720 ",Nation-state,Zero-day,Antivirus,71
France,2017,MIM65,Education,14.99 ," 9,42,088 ",Insider,Zero-day,AI-based Detection,46
India,2021,SI657,Healthcare,2.30 ," 9,42,089 ",Insider,Unpatched Software,VPN,39
India,2021,MIM65,Banking,55.12 ,"  9,42,454  ",Hacker Group,Social Engineering,VPN,66
Japan,2018,DD678,IT,9.90 ," 9,42,725 ",Insider,Zero-day,VPN,56
Russia,2017,RWS34,Retail,52.79 ," 9,42,824 ",Nation-state,Social Engineering,Antivirus,68
Australia,2020,DD678,Banking,92.95 ," 9,42,890 ",Insider,Weak Passwords,Antivirus,19
USA,2018,DD678,IT,26.29 ," 9,43,039 ",Insider,Zero-day,Firewall,28
UK,2015,SI657,Telecommunications,38.72 ,"  9,43,070  ",Hacker Group,Zero-day,VPN,36
France,2024,PH01,IT,49.75 ," 9,43,151 ",Nation-state,Zero-day,VPN,66
Brazil,2024,MIM65,Telecommunications,27.13 ," 9,43,178 ",Nation-state,Weak Passwords,VPN,63
Australia,2018,MIM65,Healthcare,34.29 ," 9,43,349 ",Nation-state,Zero-day,Antivirus,5
Australia,2018,PH01,Education,82.18 ," 9,43,662 ",Unknown,Weak Passwords,Antivirus,47
China,2020,PH01,Education,33.69 ," 9,43,680 ",Insider,Zero-day,AI-based Detection,46
India,2022,MIM65,Telecommunications,73.24 ," 9,43,689 ",Insider,Zero-day,Firewall,32
Germany,2023,MIM65,Healthcare,75.80 ," 9,43,724 ",Insider,Unpatched Software,AI-based Detection,58
Germany,2015,SI657,Government,0.72 ," 9,44,106 ",Insider,Unpatched Software,VPN,2
Japan,2017,ML345,Education,26.24 ," 9,45,147 ",Insider,Zero-day,AI-based Detection,20
France,2019,SI657,Telecommunications,16.51 ," 9,45,154 ",Nation-state,Social Engineering,AI-based Detection,63
Russia,2019,ML345,Banking,55.42 ," 9,45,465 ",Unknown,Weak Passwords,Firewall,5
USA,2021,MIM65,Education,15.92 ," 9,45,793 ",Insider,Zero-day,Firewall,32
Australia,2022,ML345,IT,41.67 ," 9,45,897 ",Insider,Weak Passwords,Firewall,66
Germany,2016,SI657,Government,63.89 ," 9,46,613 ",Insider,Social Engineering,AI-based Detection,21
Australia,2020,RWS34,Government,25.90 ," 9,46,651 ",Insider,Unpatched Software,VPN,67
China,2015,MIM65,Healthcare,66.13 ,"  9,46,668  ",Hacker Group,Unpatched Software,Encryption,67
UK,2023,ML345,IT,22.24 ," 9,46,994 ",Unknown,Zero-day,VPN,13
France,2018,PH01,Government,70.59 ," 9,47,445 ",Insider,Social Engineering,Encryption,59
India,2022,MIM65,Banking,32.47 ," 9,47,465 ",Unknown,Unpatched Software,AI-based Detection,69
China,2024,SI657,Education,18.45 ," 9,47,933 ",Insider,Social Engineering,Antivirus,10
USA,2016,DD678,Healthcare,93.14 ," 9,47,960 ",Nation-state,Weak Passwords,Firewall,55
USA,2020,DD678,Banking,99.81 ," 9,48,174 ",Unknown,Social Engineering,AI-based Detection,4
Australia,2019,DD678,Banking,29.85 ,"  9,49,862  ",Hacker Group,Weak Passwords,Firewall,25
China,2021,DD678,Telecommunications,10.20 ," 9,50,257 ",Nation-state,Weak Passwords,AI-based Detection,61
Germany,2017,RWS34,Education,76.96 ,"  9,50,276  ",Hacker Group,Unpatched Software,Firewall,31
Japan,2022,SI657,Government,79.19 ," 9,50,425 ",Unknown,Social Engineering,Antivirus,54
Germany,2019,PH01,Healthcare,99.97 ,"  9,50,451  ",Hacker Group,Weak Passwords,AI-based Detection,29
China,2015,SI657,Healthcare,24.07 ," 9,50,991 ",Nation-state,Social Engineering,Encryption,49
Japan,2018,RWS34,Government,44.98 ,"  9,51,249  ",Hacker Group,Weak Passwords,VPN,25
Japan,2017,DD678,IT,31.50 ," 9,51,607 ",Unknown,Zero-day,AI-based Detection,58
Germany,2024,PH01,IT,2.85 ," 9,51,767 ",Nation-state,Weak Passwords,AI-based Detection,10
Germany,2024,MIM65,IT,93.13 ," 9,52,299 ",Unknown,Weak Passwords,VPN,33
USA,2016,MIM65,Retail,23.35 ," 9,52,463 ",Nation-state,Unpatched Software,Antivirus,26
UK,2020,RWS34,Banking,16.91 ,"  9,52,504  ",Hacker Group,Zero-day,AI-based Detection,45
Germany,2022,DD678,IT,73.98 ," 9,53,770 ",Insider,Weak Passwords,Firewall,54
Russia,2024,PH01,Education,25.70 ," 9,53,987 ",Insider,Social Engineering,AI-based Detection,65
China,2021,DD678,Telecommunications,84.09 ," 9,54,379 ",Insider,Social Engineering,VPN,59
Japan,2017,PH01,Education,88.43 ," 9,54,423 ",Unknown,Unpatched Software,Firewall,6
Australia,2023,ML345,Telecommunications,1.51 ,"  9,54,902  ",Hacker Group,Unpatched Software,AI-based Detection,55
Brazil,2017,PH01,IT,26.62 ," 9,55,790 ",Nation-state,Zero-day,Encryption,44
Russia,2023,DD678,Telecommunications,96.61 ," 9,56,064 ",Insider,Weak Passwords,Antivirus,45
Brazil,2021,RWS34,Government,74.01 ," 9,56,893 ",Unknown,Social Engineering,Antivirus,49
